vol_num,question_num,keystrokes
630,[0],[]
631,[0],[]
632,[0],[]
633,[0],[]
634,[0],[]
635,[0],[]
636,[0],[]
637,[0],[]
638,[0],['<K:BS>']
639,[0],[]
640,[0],[]
641,[0],[]
642,[0],['f']
643,[0],[' ']
644,[0],"['<K:S>', '8']"
645,[0],"['<K:BS>', '<K:S>']"
646,[0],"['9', '9', '<K:BS x=2>']"
647,[0],"['<K:S>', '9', 'm']"
648,[0],"['o', 'd', 'e', 'l']"
649,[0],"['<K:S>', 'y']"
650,[0],"['a', 'r']"
651,[0],[' ']
652,[0],"['<K:S>', '/']"
653,[0],['<K:BS>']
654,[0],"['<K:S>', '.']"
655,[0],"[' ', '1']"
656,[0],"['9', '9']"
657,[0],"['9', ' ']"
658,[0],"['<K:S>', '8', '8']"
659,[0],"['<K:BS>', '=', '<K:S>']"
660,[0],"['<K:BS x=2>', '<K:S>', '7', '7']"
661,[0],"[' ', 'm']"
662,[],"['o', 'd']"
663,[],[]
664,[],[]
665,[],[]
666,[],[]
667,[],[]
668,[3],[]
669,[3],[]
670,[3],[]
671,[3],[]
672,[3],[]
673,[3],[]
674,[3],[]
675,[3],[]
676,[3],[]
677,[3],[]
678,[3],[]
679,[3],[]
680,[3],[]
681,[3],[]
682,[3],"['b', 'o', 'o']"
683,[3],"['l', ' ', 'i']"
684,[3],"['s', '<K:S>', '\xad']"
685,[3],"['s', 'o', 'r']"
686,[3],['t']
687,[3],"['e', 'd']"
688,[3],"['<K:S>', '9']"
689,[3],"['i', '<K:BS>', 'v']"
690,[3],"['e', 'c']"
691,[3],"['t', 'o', 'r']"
692,[3],"['<K:S>', '[']"
693,[3],"['<K:BS>', '<K:S>']"
694,[3],"['p', '<K:BS>', '<K:S>', ',']"
695,[3],"['i', 'n', 't']"
696,[3],['<K:S>']
697,[3],"['<K:S>', '.']"
698,[3],[' ']
699,[3],[]
700,[3],"['v', 'a', 'l']"
701,[3],"['u', 'e', 's']"
702,[3],"['<K:S>', '0', ' ']"
703,[3],"['<K:S>', '[']"
704,[3],['\r']
705,[3],[]
706,[3],[]
707,[3],[]
708,[3],['f']
709,[3],"['p', '<K:BS>']"
710,[3],"['o', 'r', ' ', '<K:S>', '9']"
711,[3],['i']
712,[3],[' ']
713,[3],"['=', ' ']"
714,[3],"['\xad', '<K:BS>']"
715,[3],"['0', ' ']"
716,[3],"['<K:BS>', ';', ' ']"
717,[3],"['o', '<K:BS>']"
718,[3],"['i', ' ']"
719,[3],"['<K:S>', ',']"
720,[3],[' ']
721,[3],['v']
722,[3],"['a', 'l']"
723,[3],"['u', 'e']"
724,[3],"['s', '.', 's']"
725,[3],"['i', 'z', 'e']"
726,[3],"['<K:S>', '0', '\xad', '<K:BS>']"
727,[3],"['<K:BS>', '<K:S>', '9', '0']"
728,[3],"['.', '<K:BS>']"
729,[3],"[',', ' ']"
730,[3],"['i', '<K:BS>', '<K:S>']"
731,[3],['=']
732,[3],"['=', 'i']"
733,[3],"['<K:S>', '0']"
734,[3],"[' ', '<K:S>']"
735,[3],['[']
736,[3],"['\r', 'o']"
737,[3],"['f', '<K:BS>']"
738,[3],"['<K:BS>', 'i', 'f']"
739,[3],"[' ', '<K:S>', '9']"
740,[3],"['v', 'a', 'l']"
741,[3],"['u', 'e']"
742,[3],"['s', '[']"
743,[3],['i']
744,[],[]
745,[],[]
